id;intitule;date_debut;date_fin
1;Hat;2023-09-05T11:33:29;2023-09-05T16:03:35
2;capacitor Square Buckinghamshire;2023-09-05T01:48:31;2023-09-05T02:10:48
3;Movies haptic Fully-configurable;2023-09-05T14:08:26;2023-09-05T19:25:36
4;Gorgeous seize;2023-09-06T00:11:43;2023-09-05T11:32:47
5;York Seychelles Internal;2023-09-05T14:12:26;2023-09-05T09:29:11
6;bleeding-edge Austria;2023-09-05T16:19:47;2023-09-06T00:02:26
7;Toys Chips generating;2023-09-05T10:56:35;2023-09-05T22:10:38
8;parsing capacity;2023-09-05T16:33:32;2023-09-05T22:51:39
9;withdrawal;2023-09-05T05:27:43;2023-09-05T20:32:12
10;integrated Senior whiteboard;2023-09-05T08:49:04;2023-09-05T10:05:59
