id;date_inscription;regime;annee_academique;montant_inscription;niveau;observation
1;2023-09-05T12:26:46;false;standardization hack;12805;synthesize circuit calculating;sticky ADP Swedish
2;2023-09-05T18:40:44;false;redefine Baby program;17353;Global Keyboard extranet;Corners Books
3;2023-09-05T12:15:06;true;Salad Factors USB;28163;Cambridgeshire;Rubber
4;2023-09-05T05:03:49;false;Enhanced;1748;Planner Car Plastic;Manager
5;2023-09-05T07:44:27;false;purple;77293;intangible;cyan
6;2023-09-05T17:55:56;true;green Director;64145;Texas;CSS Generic Kids
7;2023-09-05T21:24:15;false;Universal scale;95625;Representative incubate;Dinar
8;2023-09-05T20:20:14;true;extranet Sports;11355;gold RAM;National efficient Toys
9;2023-09-05T07:05:38;false;human-resource collaborative;67524;Consultant Ruble Manager;District
10;2023-09-05T08:02:27;false;Montserrat leverage;50781;bluetooth bus;synthesizing Hryvnia Tasty
